878,862,-45;406,880,-90;252,880,-90;
879,861,-45;413,880,-90;260,880,-90;
880,860,-45;420,880,-90;268,880,-90;
880,858,0;427,880,-90;276,880,-90;
880,856,0;434,880,-90;284,880,-90;
880,854,0;441,880,-90;292,880,-90;
880,852,0;448,880,-90;300,880,-90;
880,850,0;455,880,-90;308,880,-90;
880,848,0;462,880,-90;316,880,-90;
880,846,0;469,880,-90;324,880,-90;
880,844,0;476,880,-90;332,880,-90;
880,842,0;483,880,-90;340,880,-90;
880,840,0;490,880,-90;348,880,-90;
880,838,0;497,880,-90;356,880,-90;
880,836,0;504,880,-90;364,880,-90;
880,834,0;511,880,-90;372,880,-90;
880,832,0;518,880,-90;380,880,-90;
880,830,0;525,880,-90;388,880,-90;
880,828,0;532,880,-90;396,880,-90;
880,826,0;539,880,-90;404,880,-90;
880,824,0;546,880,-90;412,880,-90;
880,822,0;553,880,-90;420,880,-90;
880,820,0;560,880,-90;428,880,-90;
880,818,0;567,880,-90;436,880,-90;
880,816,0;574,880,-90;444,880,-90;
880,814,0;581,880,-90;452,880,-90;
880,812,0;588,880,-90;460,880,-90;
880,810,0;595,880,-90;468,880,-90;
880,808,0;602,880,-90;476,880,-90;
880,806,0;609,880,-90;484,880,-90;
880,804,0;616,880,-90;492,880,-90;
880,802,0;623,880,-90;500,880,-90;
880,800,0;630,880,-90;508,880,-90;
880,798,0;637,880,-90;516,880,-90;
880,796,0;644,880,-90;524,880,-90;
880,794,0;651,880,-90;532,880,-90;
880,792,0;658,880,-90;540,880,-90;
880,790,0;665,880,-90;548,880,-90;
880,788,0;672,880,-90;556,880,-90;
880,786,0;679,880,-90;564,880,-90;
880,784,0;686,880,-90;572,880,-90;
880,782,0;693,880,-90;580,880,-90;
880,780,0;700,880,-90;588,880,-90;
880,778,0;707,880,-90;596,880,-90;
880,776,0;714,880,-90;603,880,-90;
880,774,0;721,880,-90;610,880,-90;
880,772,0;728,880,-90;617,880,-90;
880,770,0;735,880,-90;624,880,-90;
880,768,0;742,880,-90;631,880,-90;
880,766,0;748,880,-90;638,880,-90;
880,764,0;754,880,-90;645,880,-90;
880,762,0;760,880,-90;652,880,-90;
880,760,0;766,880,-90;659,880,-90;
880,758,0;772,880,-90;666,880,-90;
880,756,0;778,880,-90;673,880,-90;
880,754,0;784,880,-90;680,880,-90;
880,752,0;790,880,-90;687,880,-90;
880,750,0;796,880,-90;694,880,-90;
880,748,0;802,880,-90;701,880,-90;
880,746,0;808,880,-90;708,880,-90;
880,744,0;814,880,-90;715,880,-90;
880,742,0;820,880,-90;722,880,-90;
880,740,0;826,880,-90;729,880,-90;
880,738,0;832,880,-90;736,880,-90;
880,736,0;838,880,-90;743,880,-90;
880,734,0;844,880,-90;750,880,-90;
880,732,0;850,880,-90;757,880,-90;
880,730,0;856,880,-90;764,880,-90;
880,728,0;864,876,-45;771,880,-90;
880,726,0;868,872,-45;778,880,-90;
880,724,0;872,868,-45;785,880,-90;
880,722,0;876,864,-45;792,880,-90;
880,720,0;880,860,-45;799,880,-90;
