T;a;b;delta;s0;travelTimes
1.6;0.73;1.67;17;1;6.93999,6.94006,6.94015,4.56019,0
1.6;0.73;1.67;18;1;13.6801,10.1001,6.60014,6.94024,6.16032,5.6204,3.06996e-41
1.6;0.73;1.67;19;1;9.26002,6.94006,5.62012,6.94024,3.72026,9.26048,0
1.6;0.73;1.67;20;1;3.88,9.26011,5.60012,4.56019,5.5803,3.46035,3.06996e-41
1.6;0.73;1.67;4;1;3.46,3.45999,3.46007,3.88017,3.04025,3.88036,0
1.6;0.73;1.67;4;1.2;3.88,9.26011,5.62012,5.64021,0
1.6;0.73;1.67;4;1.6;4.56,4.5,3.88008,3.46016,0
1.6;0.73;1.67;4;2.2;5.58,9.26011,6.94015,5.62021,0
1.6;0.73;1.67;4;3;13.6801,10.1401,9.2602,6.94024,5.5803,3.88036,3.06996e-41
1.6;0.73;1.67;4;4;9.02002,5.64003,3.68008,9.2603,0
1.6;0.73;1.67;4;5.2;14.2801,10.8401,7.36016,3.68017,9.26039,5.6604,0
1.6;0.73;1.67;4;6.6;9.26002,5.70003,3.88008,3.88017,0
1.6;0.73;1.67;4;8.2;9.26002,13.6802,10.2002,6.66024,9.26039,5.7004,3.0701e-41
1.6;0.73;1.67;4;10;9.26002,5.88004,9.2602,13.6804,10.4604,2.70451e-43
1.6;0.73;1.67;4;12;4.56,7.06006,5.58012,9.2603,5.74031,6.94043,0
1.6;0.73;1.67;4;14.2;3.46,3.87999,3.88008,5.64021,0
1.6;0.73;1.67;4;16.6;6.93999,4.24,4.5601,3.88017,3.46025,4.56037,3.0701e-41
1.6;0.73;1.67;4;19.2;3.04,3.87999,6.94015,5.58021,6.94033,3.67366e-40
1.6;0.73;1.67;4;22;3.88,9.26011,9.2602,9.2603,5.96031,3.46035,0
1.6;0.73;1.67;4;25;9.26002,9.26011,9.2602,7.04025,3.82026,4.56037,3.0701e-41
1.6;0.73;1.67;4;28.2;4.56,9.02011,5.86013,2.98015,3.46025,5.58039,0
1.6;0.73;1.67;4;31.6;4.56,3.87999,9.2602,14.0804,0
1.6;0.73;1.67;4;35.2;2.98,9.26011,6.26014,5.58021,5.6403,2.70451e-43
1.6;0.73;1.67;4;39;9.26002,14.2802,11.7003,9.18029,10.1004,5.76354e-42
